Date,Store,Product,Category,Region,Units_Sold,Price,Discount,Promotion,Customer_Age,Rating,Revenue
2023-01-01,Store_D,Smartwatch,Accessories,South,12,150,0.29,No,60.0,4.5,1280.64
2023-01-01,Store_A,Smartwatch,Accessories,West,1,150,0.23,Yes,42.0,4.8,138.89
2023-01-02,Store_C,Tablet,Electronics,East,13,350,0.28,No,19.0,4.1,3289.52
2023-01-02,Store_C,Smartwatch,Accessories,North,9,150,0.29,No,25.0,3.8,962.46
2023-01-04,Store_E,Tablet,Electronics,North,5,350,0.12,No,46.0,3.5,1552.71
2023-01-04,Store_C,Phone,Electronics,East,12,500,0.12,No,21.0,3.2,5323.56
2023-01-05,Store_B,Laptop,Electronics,West,12,700,0.2,No,43.0,3.2,6789.27
2023-01-05,Store_D,Phone,Electronics,East,11,500,0.2,No,23.0,2.9,4445.36
2023-01-06,Store_A,Tablet,Electronics,North,8,350,0.09,No,18.0,5.0,2579.5
2023-01-07,Store_B,Phone,Electronics,South,4,500,0.27,Yes,57.0,4.3,1777.26
2023-01-08,Store_C,Phone,Electronics,North,10,500,0.22,No,31.0,3.0,3964.2
2023-01-09,Store_A,Headphones,Accessories,North,1,80,0.11,No,20.0,,72.52
2023-01-10,Store_D,Tablet,Electronics,South,9,350,0.02,Yes,21.0,3.0,3780.49
2023-01-10,Store_C,Phone,Electronics,North,10,500,0.26,No,58.0,4.4,3776.0
2023-01-11,Store_C,Smartwatch,Accessories,West,9,150,0.06,No,27.0,4.5,1297.64
2023-01-12,Store_C,Tablet,Electronics,South,10,350,0.25,Yes,19.0,5.0,3227.48
2023-01-13,Store_A,Smartwatch,Accessories,South,7,150,0.29,Yes,59.0,4.1,918.41
2023-01-14,Store_C,Laptop,Electronics,North,13,700,0.19,Yes,50.0,2.6,9098.36
2023-01-15,Store_E,Laptop,Electronics,North,5,700,0.14,Yes,44.0,3.0,3722.61
2023-01-15,Store_D,Headphones,Accessories,North,2,80,0.22,No,43.0,3.3,128.62
2023-01-17,Store_E,Phone,Electronics,North,12,500,0.17,No,31.0,3.0,5152.28
2023-01-18,Store_E,Phone,Electronics,West,10,500,0.01,Yes,43.0,2.9,6157.2
2023-01-18,Store_D,Smartwatch,Accessories,East,5,150,0.09,Yes,25.0,3.7,848.95
2023-01-20,Store_C,Smartwatch,Accessories,South,5,150,0.03,Yes,30.0,4.1,908.34
2023-01-21,Store_E,Phone,Electronics,East,2,500,0.18,No,27.0,3.7,854.78
2023-01-22,Store_E,Smartwatch,Accessories,South,1,150,0.24,No,62.0,4.5,119.05
2023-01-23,Store_E,Tablet,Electronics,North,5,350,0.19,No,24.0,2.7,1483.06
2023-01-23,Store_A,Tablet,Electronics,North,7,350,0.18,No,59.0,2.6,2101.92
2023-01-25,Store_C,Headphones,Accessories,North,4,80,0.19,No,47.0,3.9,272.17
2023-01-25,Store_E,Smartwatch,Accessories,West,2,150,0.15,Yes,55.0,4.8,321.31
2023-01-27,Store_E,Headphones,Accessories,West,8,80,0.2,No,58.0,3.2,539.52
2023-01-28,Store_C,Laptop,Electronics,South,9,700,0.04,Yes,60.0,,7661.06
2023-01-28,Store_D,Headphones,Accessories,West,5,80,0.22,Yes,31.0,3.2,395.21
2023-01-29,Store_E,Tablet,Electronics,North,5,350,0.2,No,35.0,3.4,1480.38
2023-01-29,Store_E,Phone,Electronics,North,6,500,0.11,No,32.0,4.4,2823.29
2023-02-01,Store_B,Phone,Electronics,South,4,500,0.24,No,31.0,3.5,1615.41
2023-02-03,Store_B,Laptop,Electronics,East,8,700,0.26,No,42.0,3.5,4418.55
2023-02-03,Store_C,Smartwatch,Accessories,West,11,150,0.23,Yes,37.0,3.1,1625.61
2023-02-04,Store_E,Tablet,Electronics,West,13,350,0.25,No,21.0,3.8,3644.43
2023-02-04,Store_C,Phone,Electronics,West,4,500,0.08,Yes,23.0,4.8,2358.06
2023-02-05,Store_B,Smartwatch,Accessories,East,2,150,0.06,Yes,29.0,3.5,361.97
2023-02-06,Store_E,Tablet,Electronics,West,15,350,0.11,No,33.0,3.7,5005.77
2023-02-07,Store_C,Smartwatch,Accessories,North,2,150,0.01,No,43.0,4.6,318.67
2023-02-08,Store_E,Tablet,Electronics,North,13,350,0.16,Yes,21.0,3.1,4928.56
2023-02-10,Store_B,Smartwatch,Accessories,East,6,150,0.07,Yes,45.0,4.2,1082.53
2023-02-10,Store_A,Phone,Electronics,South,7,500,0.2,Yes,47.0,4.5,3621.38
2023-02-10,Store_D,Smartwatch,Accessories,East,13,150,0.01,Yes,32.0,3.2,2496.81
2023-02-11,Store_A,Phone,Electronics,East,5,500,0.17,No,30.0,4.9,2239.65
2023-02-12,Store_C,Laptop,Electronics,East,9,700,0.1,No,65.0,3.6,6128.64
2023-02-16,Store_E,Smartwatch,Accessories,West,8,150,0.04,Yes,33.0,4.5,1502.38
2023-02-16,Store_D,Phone,Electronics,West,6,500,0.15,No,51.0,3.4,2771.32
2023-02-16,Store_E,Phone,Electronics,South,1,500,0.27,No,57.0,4.9,396.68
2023-02-16,Store_E,Smartwatch,Accessories,North,3,150,0.2,Yes,38.0,2.5,469.49
2023-02-17,Store_A,Phone,Electronics,West,1,500,0.16,No,18.0,3.1,457.05
2023-02-20,Store_D,Laptop,Electronics,East,11,700,0.09,Yes,23.0,4.6,9184.36
2023-02-20,Store_E,Laptop,Electronics,West,12,700,0.25,No,39.0,4.8,6881.39
2023-02-20,Store_A,Phone,Electronics,East,12,500,0.27,No,61.0,3.1,4784.2
2023-02-22,Store_C,Headphones,Accessories,North,12,80,0.22,No,58.0,4.2,819.84
2023-02-23,Store_A,Phone,Electronics,West,9,500,0.2,No,30.0,3.9,3946.02
2023-02-24,Store_C,Phone,Electronics,West,9,500,0.22,No,,3.0,3851.66
2023-02-24,Store_A,Headphones,Accessories,North,14,80,0.0,No,45.0,4.2,1229.02
2023-02-25,Store_D,Laptop,Electronics,East,6,700,0.26,No,46.0,4.6,3414.24
2023-02-27,Store_A,Phone,Electronics,East,10,500,0.07,Yes,30.0,2.9,6142.63
2023-02-28,Store_D,Smartwatch,Accessories,East,13,150,0.06,No,59.0,3.6,2019.85
2023-03-02,Store_D,Smartwatch,Accessories,West,5,150,0.08,Yes,41.0,4.9,914.15
2023-03-03,Store_C,Headphones,Accessories,East,15,80,0.23,Yes,36.0,4.5,1225.3
2023-03-04,Store_B,Phone,Electronics,East,15,500,0.12,No,36.0,3.2,7299.91
2023-03-04,Store_B,Headphones,Accessories,West,11,80,0.23,Yes,43.0,2.9,899.35
2023-03-06,Store_E,Tablet,Electronics,North,5,350,0.29,No,65.0,3.0,1376.59
2023-03-08,Store_C,Tablet,Electronics,West,3,350,0.14,No,23.0,2.8,1002.02
2023-03-10,Store_E,Smartwatch,Accessories,North,11,150,0.18,Yes,53.0,4.6,1804.26
2023-03-10,Store_B,Laptop,Electronics,South,13,700,0.07,No,53.0,3.7,9404.67
2023-03-16,Store_B,Laptop,Electronics,North,3,700,0.06,No,60.0,3.6,2201.61
2023-03-16,Store_B,Laptop,Electronics,West,5,700,0.15,Yes,39.0,3.6,3981.64
2023-03-16,Store_B,Headphones,Accessories,West,4,80,0.06,Yes,43.0,4.3,402.58
2023-03-16,Store_B,Phone,Electronics,North,10,500,0.15,Yes,21.0,3.6,5688.06
2023-03-17,Store_B,Smartwatch,Accessories,South,6,150,0.14,No,33.0,,863.68
2023-03-19,Store_A,Laptop,Electronics,North,9,700,0.06,No,41.0,5.0,6614.09
2023-03-19,Store_B,Laptop,Electronics,North,15,700,0.19,Yes,25.0,3.5,11398.75
2023-03-21,Store_A,Smartwatch,Accessories,North,5,150,0.23,Yes,24.0,4.6,774.59
2023-03-22,Store_E,Headphones,Accessories,East,9,80,0.29,Yes,55.0,3.7,685.9
2023-03-23,Store_C,Laptop,Electronics,South,11,700,0.12,No,49.0,3.2,7578.71
2023-03-24,Store_A,Smartwatch,Accessories,East,4,150,0.12,Yes,51.0,4.5,708.86
2023-03-27,Store_D,Laptop,Electronics,North,3,700,0.23,No,19.0,5.0,1810.23
2023-03-28,Store_C,Tablet,Electronics,East,7,350,0.24,No,44.0,2.5,2084.83
2023-03-29,Store_C,Smartwatch,Accessories,West,9,150,0.21,No,31.0,3.2,1194.27
2023-03-30,Store_C,Headphones,Accessories,West,4,80,0.03,Yes,41.0,3.1,417.14
2023-03-31,Store_D,Smartwatch,Accessories,North,13,150,0.08,No,23.0,4.9,2009.23
2023-03-31,Store_E,Headphones,Accessories,West,11,80,0.07,No,56.0,4.2,916.58
2023-03-31,Store_C,Tablet,Electronics,North,8,350,0.02,No,62.0,2.5,3073.2
2023-04-01,Store_A,Smartwatch,Accessories,South,9,150,0.17,No,46.0,4.1,1254.96
2023-04-02,Store_D,Laptop,Electronics,North,6,700,0.16,No,34.0,4.0,3951.33
2023-04-03,Store_E,Phone,Electronics,East,1,500,0.16,No,48.0,3.5,470.38
2023-04-04,Store_C,Tablet,Electronics,South,1,350,0.12,No,50.0,3.8,344.92
2023-04-05,Store_B,Headphones,Accessories,West,3,80,0.0,Yes,43.0,2.8,322.49
2023-04-05,Store_A,Tablet,Electronics,North,1,350,0.27,Yes,20.0,3.3,343.32
2023-04-05,Store_E,Tablet,Electronics,West,11,350,0.18,No,34.0,3.6,3535.08
2023-04-06,Store_E,Phone,Electronics,South,10,500,0.06,No,38.0,3.3,5262.17
2023-04-06,Store_D,Headphones,Accessories,South,8,80,0.19,Yes,50.0,3.5,696.49
2023-04-06,Store_C,Headphones,Accessories,East,2,80,0.12,No,51.0,2.8,157.64
2023-04-08,Store_E,Laptop,Electronics,South,5,700,0.02,Yes,25.0,4.1,4606.66
2023-04-09,Store_B,Smartwatch,Accessories,East,5,150,0.22,No,,4.5,654.59
2023-04-09,Store_C,Headphones,Accessories,East,9,80,0.27,No,23.0,3.2,588.12
2023-04-09,Store_E,Laptop,Electronics,North,15,700,0.3,No,24.0,2.8,8224.3
2023-04-13,Store_B,Headphones,Accessories,North,1,80,0.14,Yes,26.0,3.3,92.27
2023-04-14,Store_A,Laptop,Electronics,North,3,700,0.06,No,18.0,3.9,2205.26
2023-04-14,Store_E,Laptop,Electronics,East,10,700,0.16,No,,3.3,6568.86
2023-04-15,Store_D,Smartwatch,Accessories,East,6,150,0.14,No,57.0,2.5,864.32
2023-04-17,Store_C,Smartwatch,Accessories,South,3,150,0.12,Yes,47.0,3.8,530.16
2023-04-19,Store_A,Headphones,Accessories,East,1,80,0.01,No,48.0,2.8,88.27
2023-04-19,Store_B,Phone,Electronics,North,7,500,0.28,No,56.0,3.4,2808.51
2023-04-21,Store_D,Tablet,Electronics,West,7,350,0.25,No,22.0,2.8,2045.47
2023-04-21,Store_A,Tablet,Electronics,West,9,350,0.17,No,22.0,3.3,2910.42
2023-04-21,Store_B,Smartwatch,Accessories,South,4,150,0.19,No,42.0,3.6,541.01
2023-04-23,Store_A,Phone,Electronics,West,8,500,0.23,No,39.0,2.6,3424.18
2023-04-23,Store_D,Smartwatch,Accessories,East,7,150,0.04,Yes,35.0,4.4,1344.77
2023-04-24,Store_A,Laptop,Electronics,East,3,700,0.03,No,27.0,2.9,2263.06
2023-04-25,Store_E,Headphones,Accessories,East,13,80,0.19,Yes,20.0,3.2,1122.25
2023-04-27,Store_A,Phone,Electronics,West,2,500,0.07,Yes,39.0,3.7,1237.06
2023-04-27,Store_B,Headphones,Accessories,South,3,80,0.0,No,30.0,4.4,266.03
2023-04-28,Store_A,Smartwatch,Accessories,North,6,150,0.0,No,44.0,4.3,996.82
2023-04-28,Store_E,Smartwatch,Accessories,West,10,150,0.01,Yes,45.0,2.9,1973.7
2023-04-30,Store_A,Smartwatch,Accessories,South,4,150,0.01,Yes,62.0,4.3,788.13
2023-05-02,Store_D,Laptop,Electronics,West,9,700,0.02,No,50.0,2.7,6814.02
2023-05-03,Store_E,Smartwatch,Accessories,East,8,150,0.16,No,45.0,4.4,1111.43
2023-05-06,Store_A,Smartwatch,Accessories,South,11,150,0.13,No,52.0,4.8,1577.99
2023-05-06,Store_A,Tablet,Electronics,North,8,350,0.01,No,21.0,3.7,3047.16
2023-05-07,Store_C,Laptop,Electronics,West,7,700,0.27,No,34.0,3.2,3927.86
2023-05-08,Store_B,Smartwatch,Accessories,West,14,150,0.07,Yes,43.0,3.6,2570.66
2023-05-08,Store_A,Headphones,Accessories,West,14,80,0.09,Yes,65.0,3.0,1341.53
2023-05-08,Store_D,Tablet,Electronics,North,1,350,0.16,Yes,26.0,4.9,386.98
2023-05-10,Store_C,Tablet,Electronics,East,9,350,0.07,No,57.0,,3206.02
2023-05-11,Store_E,Smartwatch,Accessories,West,5,150,0.27,No,47.0,4.6,598.47
2023-05-12,Store_C,Smartwatch,Accessories,South,1,150,0.29,Yes,55.0,2.6,139.53
2023-05-13,Store_A,Headphones,Accessories,North,7,80,0.01,No,24.0,3.2,604.54
2023-05-14,Store_D,Headphones,Accessories,North,3,80,0.3,Yes,53.0,2.9,219.56
2023-05-15,Store_A,Laptop,Electronics,North,10,700,0.18,No,35.0,2.9,6243.27
2023-05-18,Store_E,Smartwatch,Accessories,South,1,150,0.07,No,58.0,5.0,151.13
2023-05-19,Store_B,Tablet,Electronics,North,14,350,0.2,No,32.0,3.2,4240.8
2023-05-20,Store_E,Smartwatch,Accessories,North,8,150,0.29,Yes,30.0,2.7,1104.51
2023-05-21,Store_E,Laptop,Electronics,East,1,700,0.28,No,62.0,4.1,543.7
2023-05-23,Store_A,Smartwatch,Accessories,South,12,150,0.0,No,39.0,4.2,1936.1
2023-05-24,Store_A,Smartwatch,Accessories,South,4,150,0.23,Yes,62.0,3.1,595.42
2023-05-24,Store_A,Laptop,Electronics,East,4,700,0.16,No,,4.5,2526.04
2023-05-24,Store_D,Smartwatch,Accessories,South,12,150,0.18,No,55.0,5.0,1585.22
2023-05-25,Store_E,Phone,Electronics,West,4,500,0.03,No,46.0,3.7,2080.38
2023-05-25,Store_D,Smartwatch,Accessories,South,10,150,0.08,Yes,51.0,3.8,1775.83
2023-05-26,Store_B,Headphones,Accessories,North,14,80,0.2,Yes,55.0,3.6,1151.22
2023-05-27,Store_D,Smartwatch,Accessories,West,5,150,0.0,No,41.0,3.8,801.77
2023-05-27,Store_E,Laptop,Electronics,East,3,700,0.04,Yes,64.0,2.8,2586.18
2023-05-28,Store_E,Headphones,Accessories,West,14,80,0.24,Yes,58.0,5.0,1090.21
2023-05-30,Store_B,Tablet,Electronics,North,6,350,0.03,Yes,58.0,4.8,2600.52
2023-05-31,Store_A,Phone,Electronics,South,6,500,0.16,No,29.0,3.1,2676.52
2023-05-31,Store_A,Laptop,Electronics,North,11,700,0.12,No,34.0,4.3,7196.86
2023-06-01,Store_C,Smartwatch,Accessories,East,14,150,0.15,No,33.0,2.9,1892.7
2023-06-02,Store_D,Phone,Electronics,North,2,500,0.05,Yes,32.0,4.4,1206.74
2023-06-03,Store_A,Tablet,Electronics,South,6,350,0.09,No,47.0,3.5,2019.41
2023-06-03,Store_E,Laptop,Electronics,South,8,700,0.24,Yes,41.0,2.5,5396.94
2023-06-04,Store_B,Tablet,Electronics,West,7,350,0.28,No,62.0,4.8,1860.85
2023-06-05,Store_B,Tablet,Electronics,East,11,350,0.1,No,40.0,3.1,3648.85
2023-06-06,Store_B,Headphones,Accessories,South,5,80,0.21,No,32.0,3.1,332.18
2023-06-07,Store_A,Headphones,Accessories,South,3,80,0.13,Yes,45.0,4.9,262.92
2023-06-09,Store_C,Headphones,Accessories,North,3,80,0.28,Yes,62.0,3.5,216.8
2023-06-10,Store_C,Tablet,Electronics,West,8,350,0.1,No,41.0,2.5,2629.92
2023-06-11,Store_E,Phone,Electronics,North,5,500,0.25,No,36.0,3.4,1953.17
2023-06-11,Store_E,Tablet,Electronics,East,13,350,0.13,Yes,32.0,3.4,4948.23
2023-06-14,Store_D,Phone,Electronics,South,4,500,0.1,Yes,54.0,2.7,2237.39
2023-06-15,Store_D,Smartwatch,Accessories,East,2,150,0.17,No,24.0,4.5,257.43
2023-06-16,Store_C,Smartwatch,Accessories,West,5,150,0.07,Yes,24.0,,863.67
2023-06-16,Store_B,Tablet,Electronics,North,5,350,0.17,No,19.0,4.3,1498.79
2023-06-19,Store_C,Laptop,Electronics,North,4,700,0.26,Yes,43.0,4.5,2550.69
2023-06-21,Store_C,Smartwatch,Accessories,South,11,150,0.28,No,24.0,4.4,1213.91
2023-06-22,Store_A,Headphones,Accessories,East,11,80,0.21,Yes,33.0,2.7,850.74
2023-06-22,Store_E,Laptop,Electronics,South,10,700,0.26,Yes,59.0,3.6,6338.94
2023-06-22,Store_D,Headphones,Accessories,South,10,80,0.19,No,27.0,3.1,660.82
2023-06-26,Store_E,Phone,Electronics,East,10,500,0.19,No,24.0,4.3,4096.95
2023-06-26,Store_A,Smartwatch,Accessories,East,12,150,0.29,Yes,36.0,4.9,1551.38
2023-06-26,Store_C,Phone,Electronics,West,1,500,0.3,No,31.0,2.6,354.06
2023-06-30,Store_A,Tablet,Electronics,North,7,350,0.18,Yes,37.0,,2418.89
2023-07-01,Store_D,Tablet,Electronics,East,8,350,0.27,No,65.0,3.9,2046.64
2023-07-03,Store_D,Headphones,Accessories,East,1,80,0.29,No,28.0,3.1,56.64
2023-07-06,Store_C,Tablet,Electronics,North,4,350,0.03,Yes,49.0,3.6,1614.9
2023-07-07,Store_E,Tablet,Electronics,North,2,350,0.2,Yes,34.0,2.9,664.55
2023-07-09,Store_B,Laptop,Electronics,South,1,700,0.17,Yes,61.0,4.4,686.61
2023-07-09,Store_D,Headphones,Accessories,South,4,80,0.14,No,42.0,3.6,271.02
2023-07-09,Store_A,Headphones,Accessories,North,1,80,0.18,No,28.0,3.8,64.6
2023-07-10,Store_E,Smartwatch,Accessories,East,15,150,0.02,No,63.0,4.1,2167.01
2023-07-11,Store_A,Tablet,Electronics,North,14,350,0.0,No,53.0,4.3,4805.58
2023-07-13,Store_C,Tablet,Electronics,North,9,350,0.0,Yes,38.0,3.2,3691.81
2023-07-13,Store_C,Smartwatch,Accessories,North,13,150,0.25,No,59.0,4.2,1428.38
2023-07-15,Store_D,Headphones,Accessories,East,12,80,0.13,No,51.0,2.6,812.34
2023-07-17,Store_A,Phone,Electronics,East,12,500,0.06,No,47.0,3.8,5463.07
2023-07-17,Store_B,Laptop,Electronics,West,10,700,0.29,No,49.0,3.4,4814.09
2023-07-20,Store_E,Headphones,Accessories,North,14,80,0.16,No,43.0,3.2,905.71
2023-07-21,Store_D,Phone,Electronics,North,15,500,0.01,Yes,40.0,3.1,8560.2
2023-07-21,Store_B,Laptop,Electronics,North,6,700,0.09,No,53.0,3.3,3671.95
2023-07-22,Store_C,Smartwatch,Accessories,West,5,150,0.22,Yes,,4.4,673.07
2023-07-22,Store_C,Smartwatch,Accessories,East,3,150,0.25,No,56.0,4.5,323.59
2023-07-24,Store_D,Phone,Electronics,North,10,500,0.17,No,,3.2,3963.02
2023-07-25,Store_B,Tablet,Electronics,North,6,350,0.09,No,18.0,4.0,1821.25
2023-07-26,Store_A,Tablet,Electronics,West,9,350,0.21,No,27.0,4.3,2366.92
2023-07-27,Store_A,Smartwatch,Accessories,West,14,150,0.21,No,25.0,3.5,1574.83
2023-08-02,Store_B,Headphones,Accessories,South,12,80,0.14,No,41.0,2.6,774.69
2023-08-03,Store_E,Laptop,Electronics,North,14,700,0.04,Yes,60.0,2.6,10573.5
2023-08-04,Store_E,Headphones,Accessories,West,14,80,0.11,Yes,18.0,3.6,1118.2
2023-08-05,Store_C,Phone,Electronics,East,11,500,0.1,No,37.0,3.0,4618.86
2023-08-05,Store_B,Laptop,Electronics,West,12,700,0.22,No,46.0,3.5,6113.7
2023-08-05,Store_C,Laptop,Electronics,West,5,700,0.22,Yes,21.0,3.8,3056.85
2023-08-06,Store_B,Phone,Electronics,South,5,500,0.08,No,62.0,2.7,2142.22
2023-08-06,Store_B,Laptop,Electronics,North,3,700,0.16,Yes,63.0,3.1,1971.59
2023-08-08,Store_B,Smartwatch,Accessories,East,9,150,0.16,No,23.0,3.3,1052.41
2023-08-12,Store_B,Phone,Electronics,South,8,500,0.03,Yes,53.0,3.3,4291.07
2023-08-13,Store_E,Tablet,Electronics,East,12,350,0.09,Yes,41.0,4.0,4219.81
2023-08-14,Store_D,Smartwatch,Accessories,West,11,150,0.14,No,53.0,4.1,1303.41
2023-08-16,Store_D,Tablet,Electronics,South,10,350,0.21,Yes,54.0,2.9,3037.82
2023-08-16,Store_E,Laptop,Electronics,South,7,700,0.04,Yes,22.0,4.2,5168.15
2023-08-17,Store_B,Phone,Electronics,North,15,500,0.2,Yes,24.0,5.0,6581.55
2023-08-18,Store_E,Smartwatch,Accessories,West,7,150,0.22,No,63.0,3.7,747.48
2023-08-19,Store_E,Phone,Electronics,East,10,500,0.25,Yes,46.0,2.6,4100.73
2023-08-19,Store_B,Smartwatch,Accessories,East,5,150,0.2,No,61.0,4.6,546.76
2023-08-21,Store_C,Tablet,Electronics,North,13,350,0.03,Yes,53.0,4.5,4811.84
2023-08-21,Store_E,Phone,Electronics,South,6,500,0.11,No,34.0,4.8,2425.82
2023-08-23,Store_E,Phone,Electronics,West,9,500,0.26,No,26.0,4.5,3016.74
2023-08-24,Store_A,Headphones,Accessories,North,14,80,0.06,No,63.0,3.0,952.43
2023-08-24,Store_A,Headphones,Accessories,North,14,80,0.24,No,,2.6,770.05
2023-08-25,Store_E,Phone,Electronics,North,14,500,0.17,No,26.0,4.8,5248.88
2023-08-27,Store_A,Phone,Electronics,East,11,500,0.01,No,57.0,2.7,4906.1
2023-08-30,Store_D,Tablet,Electronics,West,3,350,0.14,Yes,18.0,3.5,972.7
2023-08-31,Store_A,Phone,Electronics,South,8,500,0.05,No,63.0,3.8,3407.07
2023-09-01,Store_E,Tablet,Electronics,North,5,350,0.11,No,61.0,,1394.84
2023-09-03,Store_C,Smartwatch,Accessories,West,6,150,0.16,No,42.0,3.1,675.56
2023-09-04,Store_C,Smartwatch,Accessories,West,3,150,0.18,No,48.0,3.6,329.39
2023-09-04,Store_D,Headphones,Accessories,West,4,80,0.07,No,,3.3,265.65
2023-09-06,Store_A,Smartwatch,Accessories,West,1,150,0.12,No,57.0,3.2,117.6
2023-09-06,Store_C,Phone,Electronics,West,8,500,0.25,No,58.0,3.5,2672.62
2023-09-07,Store_B,Headphones,Accessories,East,15,80,0.11,No,28.0,3.2,950.55
2023-09-10,Store_E,Phone,Electronics,South,4,500,0.19,No,32.0,4.6,1438.07
2023-09-10,Store_B,Headphones,Accessories,South,2,80,0.0,No,51.0,2.8,142.03
2023-09-11,Store_A,Phone,Electronics,North,7,500,0.05,Yes,31.0,3.1,3539.09
2023-09-11,Store_A,Laptop,Electronics,West,2,700,0.16,No,37.0,4.2,1043.1
2023-09-13,Store_A,Headphones,Accessories,West,14,80,0.05,No,64.0,2.7,942.35
2023-09-15,Store_A,Tablet,Electronics,South,10,350,0.26,Yes,43.0,2.6,2748.97
2023-09-16,Store_C,Headphones,Accessories,West,14,80,0.09,No,40.0,3.6,900.91
2023-09-18,Store_D,Phone,Electronics,East,2,500,0.09,No,,3.1,803.49
2023-09-18,Store_A,Phone,Electronics,South,12,500,0.09,No,20.0,4.5,4820.96
2023-09-20,Store_E,Smartwatch,Accessories,North,15,150,0.03,No,64.0,3.5,1925.22
2023-09-21,Store_D,Phone,Electronics,South,13,500,0.0,Yes,36.0,3.3,6877.64
2023-09-22,Store_E,Laptop,Electronics,South,5,700,0.17,No,61.0,4.2,2560.51
2023-09-25,Store_D,Laptop,Electronics,West,12,700,0.05,Yes,28.0,4.3,8432.87
2023-09-26,Store_D,Phone,Electronics,West,12,500,0.12,No,33.0,4.6,4648.68
2023-09-27,Store_E,Phone,Electronics,East,15,500,0.16,No,44.0,2.8,5545.73
2023-09-27,Store_D,Laptop,Electronics,East,15,700,0.11,Yes,64.0,3.7,9871.41
2023-10-04,Store_E,Smartwatch,Accessories,South,7,150,0.28,No,47.0,3.3,665.41
